next_state,states,action,reward,"labels (Q(S,A))",predictions,hidden1,hidden2,output(for select action),"q_target(Q(S1,A))",cost
"[[1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]]","[[0 0]
 [1 1]
 [2 2]
 [3 2]
 [4 2]
 [5 2]
 [6 2]
 [7 2]
 [8 2]
 [9 2]]","[[ 1]
 [ 1]
 [ 1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]]","[[ 0.9497633 ]
 [ 0.94315517]
 [ 0.99979615]
 [-1.0002038 ]
 [-1.0002038 ]
 [-1.0002038 ]
 [-1.0002038 ]
 [-1.0002038 ]
 [-1.0002038 ]
 [-1.0002038 ]]","[[ 0.        ]
 [-0.05074416]
 [-0.05741902]
 [-0.0002059 ]
 [-0.0002059 ]
 [-0.0002059 ]
 [-0.0002059 ]
 [-0.0002059 ]
 [-0.0002059 ]
 [-0.0002059 ]]","[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.39858592 0.05508423 0.         0.265046   0.         0.
  0.         0.         0.33324826 0.35216713 0.01776958 0.
  0.27591705 0.         0.         0.         0.         0.46915042
  0.11851168 0.0996387 ]
 [0.17631805 0.24284232 0.         0.03710878 0.         0.04892266
  0.15249503 0.         0.5206237  0.2594303  0.         0.
  0.50921595 0.         0.         0.         0.         0.4189527
  0.35111368 0.4909625 ]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]
 [0.         0.         0.         0.         0.         0.1583333
  0.04689527 0.         0.13135993 0.         0.         0.
  0.79884636 0.         0.         0.         0.         0.22650993
  0.25196564 0.18919516]]","[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.15187173 0.05022351 0.         0.         0.
  0.00196858 0.         0.         0.         0.         0.
  0.29370987 0.         0.         0.         0.         0.
  0.         0.22140425]
 [0.         0.1106618  0.         0.         0.         0.
  0.00257387 0.         0.0698593  0.         0.         0.
  0.43276227 0.09722393 0.         0.06526039 0.         0.
  0.         0.29475722]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]
 [0.         0.15334105 0.14188467 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.30088168 0.2902614  0.         0.         0.         0.
  0.         0.12581907]]","[[ 0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]
 [-1.2865178e-01 -5.0744157e-02 -6.0526051e-02 -1.7741686e-01]
 [-1.4711042e-01 -1.0338756e-01 -5.7419017e-02 -2.2229350e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]]","[[-1.2865178e-01 -5.0744157e-02 -6.0526051e-02 -1.7741686e-01]
 [-1.4711042e-01 -1.0338756e-01 -5.7419017e-02 -2.2229350e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]
 [-1.1260323e-02 -8.4593348e-02 -2.0590425e-04 -1.2735352e-01]]",1.0007562637329102
"[[1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 1.]]","[[1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]]","[[0 2]
 [1 2]
 [2 2]
 [3 2]
 [4 2]
 [5 2]
 [6 2]
 [7 2]
 [8 2]
 [9 3]]","[[-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [ 1]]","[[-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [-1.0028571]
 [ 1.       ]]","[[-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.002886  ]
 [-0.12838292]]","[[0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]
 [0.         0.         0.         0.         0.         0.15909734
  0.04606864 0.         0.13156377 0.         0.         0.
  0.7986476  0.         0.         0.         0.         0.22628212
  0.25171334 0.1899134 ]]","[[0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]
 [0.         0.15368874 0.14166021 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.3022366  0.2891934  0.         0.         0.         0.
  0.         0.12507953]]","[[-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]]","[[-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [-0.0119875  -0.08509844 -0.002886   -0.12838292]
 [ 0.          0.          0.          0.        ]]",1.0272728204727173
"[[1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]
 [1. 1. 1. 0.]]","[[0 0]
 [1 1]
 [2 2]
 [3 2]
 [4 0]
 [5 2]
 [6 2]
 [7 2]
 [8 0]
 [9 2]]","[[ 1]
 [ 1]
 [ 1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]
 [-1]]","[[ 0.94898516]
 [ 0.9376163 ]
 [ 0.9932569 ]
 [-1.0067431 ]
 [-1.0067431 ]
 [-1.0067431 ]
 [-1.0067431 ]
 [-1.0067431 ]
 [-1.0067431 ]
 [-1.0067431 ]]","[[-0.00032299]
 [-0.05153013]
 [-0.06301387]
 [-0.00681116]
 [-0.01321861]
 [-0.00681116]
 [-0.00681116]
 [-0.00681116]
 [-0.01321861]
 [-0.00681116]]","[[0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7435448e-05 0.0000000e+00
  4.4119766e-04 0.0000000e+00 0.0000000e+00 8.6314125e-05 0.0000000e+00
  4.5762745e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.9162440e-04]
 [3.9839542e-01 5.5034377e-02 0.0000000e+00 2.6510090e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3342087e-01 3.5206634e-01
  1.7778728e-02 0.0000000e+00 2.7565187e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 4.6879447e-01 1.1829102e-01 1.0042195e-01]
 [1.7605594e-01 2.4277472e-01 0.0000000e+00 3.7149925e-02 0.0000000e+00
  5.0246242e-02 1.5120462e-01 0.0000000e+00 5.2089143e-01 2.5927982e-01
  0.0000000e+00 0.0000000e+00 5.0881582e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 4.1843355e-01 3.5077184e-01 4.9216840e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  1.6013792e-01 4.5162529e-02 0.0000000e+00 1.3168100e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 7.9832178e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.2580639e-01 2.5149995e-01 1.9083978e-01]]","[[1.0067915e-04 2.7627428e-04 0.0000000e+00 2.6980102e-05 1.6284876e-05
  1.0235736e-04 1.2566242e-04 2.7590615e-05 2.0851081e-04 0.0000000e+00
  9.3168193e-05 0.0000000e+00 1.2532953e-03 0.0000000e+00 3.9080562e-05
  3.5988993e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]
 [0.0000000e+00 1.5198781e-01 4.9917266e-02 0.0000000e+00 0.0000000e+00
  0.0000000e+00 2.4172065e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 2.9530314e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2008716e-01]
 [0.0000000e+00 1.1118345e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 3.3566060e-03 0.0000000e+00 7.0488237e-02 0.0000000e+00
  0.0000000e+00 0.0000000e+00 4.3534434e-01 9.5084742e-02 0.0000000e+00
  6.6503406e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.9289451e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]
 [0.0000000e+00 1.5406813e-01 1.4115697e-01 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
  0.0000000e+00 0.0000000e+00 3.0394292e-01 2.8773835e-01 0.0000000e+00
  0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2371648e-01]]","[[-0.00032299 -0.00028926 -0.00351604 -0.00057605]
 [-0.12933251 -0.05153013 -0.06498256 -0.17796901]
 [-0.14858918 -0.10428387 -0.06301387 -0.22434188]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]]","[[-0.12933251 -0.05153013 -0.06498256 -0.17796901]
 [-0.14858918 -0.10428387 -0.06301387 -0.22434188]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]
 [-0.01321861 -0.08620436 -0.00681116 -0.12940241]]",0.9968806505203247
